ListOfficeName,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
Compass,31705,58725452218.57,1350000.0,757.28,30.66,14.0,1.0552,1.129,36.0,27.84,7.08657897,11.00984394,1,1
Coldwell Banker Realty,20191,33547137498.65,1200000.0,694.14,34.53,16.0,1.1044,5.9358,41.9,27.17,4.51301423,6.28941514,2,2
Keller Williams Realty,8754,9049006448.49,875000.0,540.39,31.51,15.0,1.0084,1.5336,40.14,30.61,1.95666022,1.69650714,3,3
Berkshire Hathaway HomeServices California Properties,5812,8747603187.65,950000.0,599.04,41.66,23.0,0.9941,0.9802,48.87,29.75,1.29907576,1.64000007,5,4
Intero Real Estate Services,4810,7967221741.0,1379950.0,848.1,24.66,11.0,1.0429,3.3817,24.71,26.18,1.0751126,1.49369421,8,5
Coldwell Banker West,2874,7118247404.0,825000.0,543.06,28.28,15.0,3.0964,3.067,38.34,28.61,0.64238536,1.33452856,13,6
First Team Real Estate,6248,7045842214.87,961064.0,609.54,29.54,13.0,1.0056,97.3174,44.09,30.64,1.39652879,1.32095404,4,7
The Agency,2939,6818685318.0,1675000.0,804.94,35.42,17.0,1.0147,1.003,38.96,26.76,0.65691391,1.27836668,12,8
Real Broker,5170,5448711296.87,849950.0,558.49,29.42,15.0,1.0045,194.4217,40.85,30.09,1.1555784,1.02152404,7,9
Pacific Sotheby's Int'l Realty,1791,5370118884.6,1675000.0,789.06,39.03,18.0,1.5331,1.4997,50.42,28.93,0.40031739,1.00678954,25,10
eXp Realty of California Inc,5219,5114841658.4,790000.0,532.22,36.85,19.0,1.2007,1752.7847,45.55,32.43,1.16653069,0.95893018,6,11
Sotheby's International Realty,2578,4955354447.0,1400000.0,769.34,46.99,24.0,0.9903,0.9733,49.53,27.44,0.57622459,0.92902953,15,12
Equity Union,3928,4190008399.47,852500.0,475.65,44.6,28.0,0.9881,459.7265,51.93,26.16,0.87797137,0.7855425,9,13
Christie's International Real Estate Sereno,1990,4049632331.0,1630000.0,950.65,23.71,10.0,1.0347,1.0237,28.2,24.28,0.4447971,0.7592248,22,14
Seven Gables Real Estate,2193,3646918387.0,1055000.0,645.18,25.79,11.0,1.4695,1.4681,45.11,30.22,0.49017088,0.68372402,17,15
"eXp Realty of California, Inc.",3879,3612755232.3,757500.0,491.66,28.04,13.0,1.0078,1.0027,39.04,30.39,0.86701908,0.67731911,10,16
Berkshire Hathaway HomeService,2079,3550545072.0,1100000.0,636.94,37.21,17.0,1.4797,2.3059,49.48,30.89,0.46469004,0.66565596,18,17
Carolwood Estates,559,3205120513.0,3275000.0,1104.8,52.16,32.0,0.958,0.9413,53.48,33.18,0.12494552,0.60089578,94,18
Redfin,2038,3128033451.0,975000.0,656.03,26.21,15.0,1.5163,1.5046,27.62,26.83,0.45552588,0.58644351,19,19
COMPASS,2000,2907331166.6,1100000.0,653.95,31.77,16.0,1.0355,1.026,50.19,27.49,0.44703226,0.54506626,20,20
Rodeo Realty,1992,2710687441.1,1034250.0,601.69,37.39,20.0,1.0013,1.9483,41.86,30.58,0.44524414,0.5081995,21,21
Century 21 Masters,3683,2586042872.0,628000.0,360.64,37.06,21.0,1.0062,258.0139,46.79,38.36,0.82320992,0.48483115,11,22
"Pinnacle Estate Properties, Inc.",2401,2531356052.25,900000.0,516.13,36.0,24.0,1.0021,1.0051,40.17,26.32,0.53666223,0.47457847,16,23
Redfin Corporation,2755,2506408023.5,790000.0,517.45,31.89,18.0,0.9996,0.9873,34.62,29.68,0.61578694,0.46990121,14,24
KW Advisors,1351,2240864299.0,1365000.0,880.35,24.41,13.0,1.0625,1.0524,25.2,26.02,0.30197029,0.42011709,28,25
"Douglas Elliman of California, Inc.",767,2086278929.67,1485000.0,805.01,41.65,22.0,0.9893,0.9829,45.15,28.25,0.17143687,0.39113544,64,26
Pinnacle Real Estate Group,1540,1950074023.0,968000.0,565.2,37.19,21.0,1.0157,13.7197,46.69,32.01,0.34421484,0.36559975,27,27
The Beverly Hills Estates,368,1857633600.0,2750000.0,985.22,59.61,41.5,0.96,0.9422,61.42,18.89,0.08225394,0.34826903,153,28
Golden Gate Sotheby's International Realty,718,1841035286.0,2037500.0,1111.65,25.16,12.0,1.0337,1.0216,25.11,24.2,0.16048458,0.34515717,70,29
Bennion Deville Homes,1845,1744433396.25,699000.0,371.32,67.47,51.0,0.9666,1.9674,76.81,17.7,0.41238726,0.32704626,24,30
Estate Properties,1115,1719382227.79,1275000.0,751.62,36.24,15.0,0.9966,0.9971,44.9,32.05,0.24922049,0.32234967,37,31
Christie's International Real Estate SoCal,490,1709354805.0,2100000.0,914.22,52.43,29.0,0.9753,0.9571,54.56,29.74,0.1095229,0.32046973,113,32
Real Brokerage Technologies,1634,1654991980.0,765000.0,477.79,33.33,16.0,1.0099,0.9984,42.19,29.29,0.36522536,0.31027779,26,33
HomeSmart Realty West,1219,1630893360.0,807000.0,518.81,35.14,19.0,1.7922,1.7762,44.56,31.57,0.27246617,0.30575978,34,34
Realty One Group West,1315,1619878464.0,1006000.0,645.38,32.56,15.0,0.9966,1.0074,45.32,30.9,0.29392371,0.30369471,29,35
RE/MAX Connections,726,1567351862.0,910000.0,581.99,27.73,13.0,2.3775,2.3135,33.05,27.82,0.16227271,0.29384702,69,36
Allison James Estates & Homes,1029,1532393858.0,715000.0,382.95,41.74,22.0,1.962,3.756,53.93,32.79,0.2299981,0.2872931,45,37
Douglas Elliman,602,1500636503.0,1700000.0,853.08,43.19,24.5,0.9912,0.9743,44.44,28.88,0.13455671,0.28133923,86,38
Coldwell Banker Country Realty,53,1430453700.0,955000.0,409.69,22.26,16.0,38.3577,37.4032,36.47,41.58,0.01184636,0.26818137,1074,39
"HomeSmart, Evergreen Realty",1309,1419196580.0,916000.0,595.97,30.84,15.0,1.0019,1.0151,39.53,31.46,0.29258262,0.26607088,30,40
Coldwell Banker,1038,1414877132.0,1197000.0,638.36,25.19,12.0,1.0091,0.9949,26.55,25.21,0.23200975,0.26526107,43,41
Keller Williams Tri-Valley,1021,1403584111.0,1200000.0,688.98,19.84,9.0,1.0212,1.0119,20.64,25.61,0.22820997,0.26314386,46,42
Vista Sotheby’s International Realty,635,1378655889.0,1795000.0,906.25,29.51,13.0,0.999,0.9847,44.48,32.19,0.14193274,0.25847032,81,43
Keller Williams Realty Irvine,774,1273790834.0,1322500.0,711.58,28.16,15.0,1.0074,0.9987,36.5,28.33,0.17300149,0.23881022,62,44
KW Advisors East Bay,1086,1256427503.0,987500.0,638.96,28.12,15.0,1.1022,1.0947,29.23,24.08,0.24273852,0.23555495,39,45
LPT Realty,437,1249399641.0,710000.0,424.44,36.3,18.0,3.2523,3.2384,43.85,29.87,0.09767655,0.23423736,124,46
T.N.G. Real Estate Consultants,1235,1241161375.23,910000.0,579.4,26.5,11.0,1.0108,1.015,39.09,31.94,0.27604242,0.23269285,33,47
Pinnacle Estate Properties,1076,1221122663.0,965000.0,528.14,31.33,16.0,1.0019,1.8496,36.93,35.52,0.24050336,0.228936,41,48
Red Oak Realty,1033,1209976606.0,1100000.0,720.0,21.28,14.0,1.1856,1.1781,21.69,20.26,0.23089216,0.22684633,44,49
"eXp Realty of Southern California, Inc.",1250,1206989540.0,780000.0,530.67,27.88,15.0,1.0004,0.9913,34.73,29.32,0.27939517,0.22628632,32,50
"eXp Realty of California, Inc",1018,1182201351.99,875000.0,555.77,28.82,14.0,1.0019,0.9912,47.75,31.71,0.22753942,0.22163903,47,51
KW Bay Area Estates,656,1161562131.0,1565000.0,920.31,21.11,9.0,1.0411,1.0299,20.62,23.82,0.14662658,0.21776959,76,52
D R Horton America's Builder,1879,1139456253.0,593170.0,290.63,35.6,26.0,1.0052,1.3081,42.01,45.92,0.41998681,0.21362518,23,53
RE/MAX One,1050,1128403075.0,899900.0,534.1,31.7,17.0,0.9987,2.0792,37.06,32.33,0.23469194,0.21155293,42,54
Barry Estates,177,1088647570.0,5285000.0,1018.99,52.91,35.0,0.9532,0.9283,60.05,29.42,0.03956236,0.20409958,352,55
RE/MAX of Santa Clarita,1168,1074976345.0,850000.0,437.11,30.97,16.0,1.0007,0.9984,41.68,32.68,0.26106684,0.20153649,36,56
RE/MAX Accord,1013,1046640993.0,810000.0,557.38,30.01,15.0,1.1043,1.0882,31.28,25.93,0.22642184,0.19622418,48,57
Century 21 Affiliated,1181,1040359861.0,806000.0,530.04,27.22,13.0,1.0,0.9912,36.26,30.51,0.26397255,0.1950466,35,58
Dudum Real Estate Group,826,1036677728.0,1026500.0,605.2,21.38,11.0,1.0244,1.0152,21.97,23.63,0.18462433,0.19435627,58,59
ROA California Inc,359,1029358394.0,750000.0,490.12,30.6,16.0,3.8088,3.7419,44.06,31.22,0.08024229,0.19298404,160,60
Keller Williams Beverly Hills,639,1002916441.0,1237000.0,715.02,41.55,22.0,1.0001,0.983,43.56,32.35,0.14282681,0.18802671,80,61
Willis Allen Real Estate,532,974920449.0,1377500.0,780.52,31.96,13.0,0.9876,0.9739,45.85,30.06,0.11891058,0.18277802,105,62
Cali Real Estate Professionals,4,971690000.0,585000.0,238.15,71.5,70.0,249.5187,243.5019,71.5,36.25,0.00089406,0.18217238,7515,63
Deleon Realty,197,968318407.0,4150000.0,1693.85,24.15,9.0,1.0616,1.0564,22.98,23.01,0.04403268,0.18154027,319,64
The GRUBB Company,533,925088095.0,1450000.0,763.8,18.77,12.0,1.215,1.2139,19.67,20.14,0.1191341,0.17343546,103,65
Arbor Real Estate,258,902293599.0,2317500.0,1146.35,31.3,12.5,0.9904,0.9763,35.62,27.37,0.05766716,0.16916194,243,66
Re/Max Golden Empire Realty,2,900435000.0,450217500.0,41000.79,134.0,134.0,29.5266,29.5266,152.0,62.5,0.00044703,0.16881349,10564,67
Corcoran Icon Properties,807,900354822.0,870000.0,528.21,31.94,16.0,1.0274,1.0167,33.55,26.76,0.18037752,0.16879846,60,68
Regency Real Estate Brokers,747,889346319.0,1070000.0,636.75,28.15,12.0,0.9977,0.9806,41.02,29.94,0.16696655,0.16673459,67,69
Vista Sotheby's International Realty,551,874562569.5,1085000.0,623.1,41.26,20.0,0.9918,2.3812,52.58,34.23,0.12315739,0.16396293,96,70
eXp Realty of California,873,868834355.0,820000.0,581.2,29.52,16.0,1.0281,1.0163,32.79,26.1,0.19512958,0.16288901,55,71
Re/Max Accord,708,861490295.0,1077500.0,665.07,24.88,14.0,1.0139,1.0038,26.11,25.12,0.15824942,0.16151214,72,72
Legacy Real Estate & Assoc.,642,859943248.0,1240000.0,771.34,20.19,10.0,1.0334,1.0232,21.05,25.39,0.14349736,0.1612221,79,73
Pacific Sotheby's International Realty,418,853074676.0,1387500.0,722.15,38.23,16.0,0.9853,0.9705,43.3,29.53,0.09342974,0.15993438,131,74
Westside Estate Agency Inc.,94,835542500.0,3216000.0,1018.52,59.81,34.5,0.9445,0.9206,60.42,21.78,0.02101052,0.15664745,646,75
Success Realty & Mortgage,1,820000000.0,820000000.0,684474.12,6.0,6.0,1012.3457,1012.3457,7.0,15.0,0.00022352,0.15373355,13484,76
RE/MAX Gold Coast REALTORS,900,818239578.86,815000.0,505.21,35.9,22.0,0.995,1.013,49.4,28.44,0.20116452,0.1534035,52,77
RE/MAX ONE,613,818196541.0,864000.0,500.72,51.52,38.0,0.9905,0.9897,54.16,16.58,0.13701539,0.15339543,85,78
"Circa Properties, Inc.",750,817334351.0,955000.0,590.44,23.89,10.0,1.0228,1.0156,38.02,31.21,0.1676371,0.15323379,66,79
BHHS Drysdale Properties,774,799052895.0,875000.0,591.56,28.01,15.0,1.012,0.9981,29.05,26.65,0.17300149,0.14980638,62,80
Keller Williams Realty-Silicon Valley,474,798376096.0,1490050.5,941.9,20.01,9.0,1.0731,1.0738,21.1,25.37,0.10594665,0.1496795,117,81
"Sara Lypps, Broker",1,796000000.0,796000000.0,411157.02,88.0,88.0,964.9655,936.5808,272.0,39.0,0.00022352,0.14923403,13484,82
JohnHart Real Estate,858,792597853.0,807500.0,539.92,45.29,28.0,1.0021,0.992,68.07,31.52,0.19177684,0.14859619,56,83
Surterre Properties Inc.,274,792233377.5,1855000.0,948.15,42.36,20.5,0.9777,0.9616,55.43,32.68,0.06124342,0.14852786,217,84
eXp Realty of Greater Los Angeles,832,791055217.0,785000.0,527.18,37.66,21.0,1.0015,0.9848,47.75,35.4,0.18596542,0.14830698,57,85
Luxe Real Estate,148,785302526.0,2725000.0,1114.41,56.76,27.5,0.9673,0.9465,64.71,30.66,0.03308039,0.14722847,418,86
Opendoor Brokerage Inc.,900,778856194.0,810000.0,534.75,81.47,59.0,0.9864,0.948,88.73,32.35,0.20116452,0.14601991,52,87
Bullock Russell RE Services,542,778582639.0,1322500.0,649.07,31.2,13.0,0.9911,0.9936,48.13,28.92,0.12114574,0.14596862,97,88
Keller Williams Thrive,482,771408237.0,1430000.0,902.88,17.27,8.0,1.0616,1.0631,16.71,23.11,0.10773478,0.14462357,115,89
Carmel Realty Company,206,738459522.0,2657500.0,1155.88,68.42,29.5,0.9567,0.9241,66.3,31.5,0.04604432,0.13844634,304,90
BHHS CA Properties,591,721379586.0,980000.0,573.48,32.17,14.0,0.9991,0.9991,43.28,30.13,0.13209803,0.1352442,88,91
RICHMOND AMERICAN HOMES,1088,713539419.0,634682.5,274.85,84.55,65.5,0.9991,1.553,93.09,54.87,0.24318555,0.13377432,38,92
Yavorsky Properties Of Bonita,20,682198000.0,873000.0,495.88,25.35,17.0,45.2124,38.715,28.05,28.25,0.00447032,0.12789844,2368,93
Century 21 Allstars,948,672749061.0,670000.0,532.5,34.29,19.0,1.0064,1.7519,47.73,39.08,0.21189329,0.12612695,50,94
David Lyng Real Estate,488,669161528.0,1200000.0,776.13,37.31,17.0,0.9988,0.978,36.83,26.21,0.10907587,0.12545436,114,95
Village Associates Real Estate,324,666346390.0,1847000.0,782.68,22.6,10.0,1.019,1.0074,23.42,22.85,0.07241923,0.12492658,179,96
eXp Realty of Southern CA,542,650347260.0,950000.0,543.27,29.15,13.0,0.9937,0.9797,55.58,29.88,0.12114574,0.12192706,97,97
Pardee Properties,316,647287180.0,1828923.5,1006.16,36.31,22.0,1.0018,0.9852,37.85,31.3,0.0706311,0.12135336,185,98
CA-RES,148,633719229.0,710000.0,503.14,27.25,14.0,7.9589,7.9537,43.51,36.03,0.03308039,0.11880964,418,99
HomeSmart,1083,629049435.0,505000.0,305.03,64.86,51.0,0.9789,3.6063,74.65,16.44,0.24206797,0.11793415,40,100
Harvest Realty Development,397,626879343.0,1268000.0,643.78,35.25,20.0,1.0377,72.9152,43.04,30.95,0.0887359,0.1175273,142,101
KB HOME,994,622712252.0,614669.0,313.95,77.98,58.0,1.0035,1.0068,94.82,87.27,0.22217504,0.11674605,49,102
"Perception Real Estate Group,",17,615352600.0,843000.0,531.29,25.71,10.0,58.9085,58.8849,27.12,18.76,0.00379977,0.11536627,2693,103
Park Regency Realty,710,614199197.26,825000.0,520.3,23.26,13.0,1.0237,1.0136,31.98,36.82,0.15869645,0.11515003,71,104
Douglas Elliman of California,278,609134523.0,1475000.0,712.92,41.59,19.0,0.9925,1.0373,52.33,31.06,0.06213748,0.1142005,211,105
RE/MAX Select One,476,609086198.0,1172500.0,718.74,25.71,12.0,0.997,1.0091,33.53,26.85,0.10639368,0.11419144,116,106
CENTURY 21 Affiliated,527,607600151.0,907000.0,583.21,41.91,18.0,0.9917,0.9714,54.3,29.56,0.117793,0.11391284,106,107
RE/MAX Estate Properties,426,605900726.25,1280000.0,735.06,33.54,13.0,1.0081,0.9924,45.86,33.28,0.09521787,0.11359423,127,108
Keller Williams Pacific Estate,688,605094652.0,825000.0,600.83,29.51,13.0,1.0095,1.0005,43.64,33.12,0.1537791,0.11344311,74,109
"Big Block Realty, Inc.",498,602342446.0,825000.0,583.24,20.26,12.0,1.1938,1.1891,24.14,27.09,0.11131103,0.11292712,112,110
Strand Hill Properties,208,597544379.0,2042000.0,974.75,44.08,18.5,0.9898,0.9722,55.31,32.45,0.04649136,0.11202758,303,111
Keller Williams Westlake Village,505,578723562.35,1000000.0,529.14,47.04,33.0,0.9944,1.0181,50.66,14.42,0.11287565,0.10849906,111,112
REALTY MASTERS & ASSOCIATES,898,576842049.0,600000.0,396.95,35.62,17.0,1.0029,2.2009,44.92,37.24,0.20071749,0.10814631,54,113
Coldwell Banker Home Source,1272,574424618.77,425000.0,242.25,50.87,27.0,0.9978,0.9829,57.38,38.07,0.28431252,0.10769309,31,114
Golden Gate Sotheby's Int'l Re,274,565343614.0,1550000.0,694.49,33.72,13.5,1.016,0.9947,34.74,22.94,0.06124342,0.10599058,217,115
Harcourts Prime Properties,439,558639864.0,900000.0,584.31,37.79,23.0,1.0211,1.0126,49.9,32.17,0.09812358,0.10473377,123,116
Keller Williams Realty Central Coast,590,558421810.49,802750.0,510.41,34.05,11.0,2.7106,2.6912,48.71,35.1,0.13187452,0.10469288,89,117
"eXp Realty of Greater Los Angeles, Inc.",540,551279822.0,799500.0,539.65,35.6,20.0,1.0011,1.0033,49.11,35.17,0.12069871,0.1033539,101,118
Christie's AKG,154,544750579.0,1827500.0,849.73,43.88,21.5,0.9852,0.9592,44.83,33.46,0.03442148,0.1021298,405,119
RE/MAX MASTERS REALTY,534,542230754.0,831500.0,508.69,33.4,15.5,1.0049,1.0109,41.71,34.12,0.11935761,0.10165739,102,120
RE/MAX TIME REALTY,826,536218158.0,610000.0,368.51,32.8,17.0,1.0066,1.0072,42.17,34.24,0.18462433,0.10053015,58,121
EXP REALTY OF CALIFORNIA INC,762,535037452.0,660000.0,371.25,38.66,19.5,1.003,2.3123,53.37,37.95,0.17031929,0.10030879,65,122
"LPT Realty,Inc",566,532506337.0,830250.0,571.83,27.47,15.0,0.997,0.9864,31.94,27.1,0.12651013,0.09983425,92,123
KELLER WILLIAMS REALTY,908,528784781.0,547000.0,325.24,36.05,16.0,0.9989,1.0067,46.8,36.42,0.20295265,0.09913654,51,124
Berkshire Hathaway Home Servic,352,526239524.0,1257500.0,747.96,28.71,14.0,1.0913,1.0848,50.69,28.66,0.07867768,0.09865935,164,125
Windermere Real Estate,630,525895447.0,615000.0,354.61,66.36,50.5,0.9647,2.4338,82.74,18.85,0.14081516,0.09859484,82,126
Keller Williams Luxury Homes,523,525817509.0,770000.0,396.2,62.59,50.0,0.9719,0.9429,65.63,25.67,0.11689894,0.09858023,108,127
"LPT Realty, Inc",652,523180152.0,695000.0,389.61,35.03,20.0,0.9984,0.9842,46.66,32.83,0.14573252,0.09808578,77,128
The Oppenheim Group,268,517172217.0,1259250.0,666.74,34.65,19.5,0.9882,0.9712,98.74,29.24,0.05990232,0.09695941,229,129
Keller Williams La Jolla,422,514899694.0,1001010.0,684.65,22.62,12.0,0.9998,0.9919,27.01,27.27,0.09432381,0.09653336,128,130
Christie's Intl RE Sereno,430,512769256.0,1086500.0,578.65,25.6,13.0,1.0021,0.9925,26.52,26.9,0.09611194,0.09613395,125,131
Village Properties,99,503970156.0,2282000.0,1265.98,85.69,48.0,0.9607,0.9329,92.05,26.28,0.0221281,0.09448429,611,132
Ashby & Graff,93,502736985.0,815000.0,540.79,44.54,22.0,11.9249,11.9072,53.05,38.1,0.020787,0.0942531,651,133
Vanguard Properties,368,493308810.0,1250000.0,687.21,24.46,13.0,1.1249,1.1188,26.41,21.73,0.08225394,0.0924855,153,134
Desert Sotheby's International Realty,411,488510636.0,780000.0,398.42,65.13,50.0,0.9795,0.9749,75.95,14.87,0.09186513,0.09158594,134,135
Keller Williams Coastal Prop.,521,475466756.0,819000.0,611.07,27.11,12.0,1.0294,1.0353,42.52,31.35,0.1164519,0.08914048,109,136
Keller Williams Realty Los Feliz,325,474585380.0,1279000.0,768.85,27.75,16.0,1.0423,1.0331,28.5,27.17,0.07264274,0.08897524,176,137
Realty Masters & Associates,707,472308877.0,605000.0,382.4,38.6,21.0,0.9951,1356.4719,50.07,37.21,0.15802591,0.08854844,73,138
Taylor Morrison Services,643,466529444.0,610275.0,281.1,49.55,41.0,1.006,0.9907,68.92,67.28,0.14372087,0.08746491,78,139
RE/MAX PREMIER/ARCADIA,304,464405040.0,1207500.0,612.04,30.63,17.0,1.0132,1.0043,38.94,31.43,0.0679489,0.08706663,194,140
"DRW Services Group, Inc.",7,462005000.0,490000.0,442.29,26.0,19.0,143.7035,138.8845,38.29,23.14,0.00156461,0.08661667,5273,141
Alliance Bay Realty,389,459021052.0,1065000.0,706.52,29.59,16.0,1.0197,1.0148,30.85,26.72,0.08694778,0.08605724,144,142
"Real Brokerage Technologies, Inc.",599,454851530.0,670000.0,379.16,31.05,15.0,1.0038,0.9971,39.15,34.35,0.13388616,0.08527554,87,143
Elevate Real Estate Agency,618,452181725.3,657000.0,393.6,35.53,19.0,1.0001,2.607,45.5,34.56,0.13813297,0.084775,84,144
eHomes,623,450068488.0,640000.0,416.12,35.72,19.0,1.0043,1.0092,47.17,32.99,0.13925055,0.08437881,83,145
Keller Williams Larchmont,321,448843556.0,1125000.0,700.41,38.25,18.0,1.008,0.9931,41.75,30.64,0.07174868,0.08414916,180,146
Keller Williams San Diego Metro,448,444510485.0,822500.0,583.16,23.26,12.0,1.0103,1.0013,26.32,26.65,0.10013523,0.0833368,121,147
Wetrust Realty,402,442873187.0,900000.0,539.43,40.03,22.0,0.9962,25.4667,49.02,30.9,0.08985349,0.08302984,140,148
CENTURY 21 LOIS LAUER REALTY,673,426588080.0,585000.0,331.86,40.2,17.0,0.9915,0.9734,47.57,32.34,0.15042636,0.07997671,75,149
Exp Realty of California Inc.,515,423055543.0,705000.0,442.94,28.23,14.0,1.0216,1.0066,29.75,26.52,0.11511081,0.07931443,110,150
Universal Elite Inc.,309,422773865.69,1083000.0,579.79,39.12,21.0,0.9914,3321.0393,48.04,30.27,0.06906648,0.07926162,191,151
USAFC Realty,31,421765000.0,729000.0,498.19,61.61,56.0,33.2215,33.189,74.19,34.58,0.006929,0.07907247,1650,152
Bailey Properties,307,420885128.0,1165000.0,734.74,34.24,15.0,0.999,0.9802,33.79,26.28,0.06861945,0.07890752,192,153
Keller Williams VIP Properties,542,418670280.0,733000.0,443.1,32.18,16.0,1.0036,0.9909,40.95,35.18,0.12114574,0.07849228,97,154
Christie's International R.E. Southern California,106,416979340.0,3470450.0,1590.82,42.47,22.5,0.978,0.9583,44.45,30.74,0.02369271,0.07817526,569,155
RE/MAX CHAMPIONS,584,410646096.0,640000.0,417.62,37.4,20.0,1.0004,4.6791,44.9,34.57,0.13053342,0.0769879,90,156
"Anne Ruth O Brey, Broker",3,406460000.0,1950000.0,767.41,67.67,51.0,299.5947,299.5002,79.33,24.0,0.00067055,0.07620309,8812,157
IRN Realty,358,402015281.0,850000.0,549.92,40.11,23.0,0.9923,0.9787,48.3,33.12,0.08001878,0.0753698,161,158
Keller Williams Realty Antelope Valley,740,396458796.0,461250.0,270.83,37.82,23.0,1.0309,1.0271,45.3,36.92,0.16540194,0.07432807,68,159
Maxreal,250,393794539.0,1424000.0,911.15,20.12,8.0,1.0653,1.0647,19.44,23.52,0.05587903,0.07382857,252,160
Nourmand & Associates-BH,150,391696351.0,1765000.0,859.97,39.39,21.0,0.9975,0.9855,38.48,27.12,0.03352742,0.07343521,413,161
COLDWELL BANKER REALTY,553,390590022.0,660000.0,369.98,35.19,16.0,0.9982,2.974,44.39,33.17,0.12360442,0.07322779,95,162
Baldwin Property Management,14,384852519.0,676000.0,401.71,31.57,10.5,83.35,83.3255,33.14,27.29,0.00312923,0.07215213,3148,163
Beach City Brokers,262,384523899.0,1255000.0,791.29,26.34,11.0,1.0108,1.0358,32.64,31.21,0.05856123,0.07209052,239,164
Realty ONE Group Empire,803,383952865.0,444999.0,255.25,39.56,21.0,1.0011,0.9985,49.86,36.77,0.17948345,0.07198346,61,165
Bayside,141,383690585.0,1600000.0,836.65,51.46,22.0,0.9936,0.9749,58.5,34.73,0.03151577,0.07193429,434,166
The ONE Luxury Properties,349,383671010.0,925000.0,530.97,47.77,37.0,0.9914,3.855,49.77,15.89,0.07800713,0.07193062,166,167
Keller Williams Palo Alto,163,382569980.0,1840000.0,1162.62,21.99,11.0,1.0675,1.0575,22.56,27.51,0.03643313,0.07172419,384,168
Keller Williams Realty Calabasas,274,380791654.0,940000.0,602.9,36.4,20.5,0.9916,4.1466,42.61,31.31,0.06124342,0.07139079,217,169
Coastal Premier Properties,241,380269190.0,1160000.0,667.77,25.41,12.0,0.9991,0.9869,36.96,29.09,0.05386739,0.07129284,259,170
ReMax Tiffany Real Estate,386,379667355.0,925000.0,600.94,21.24,9.0,1.0346,1.0481,39.21,30.16,0.08627723,0.07118001,147,171
Keller Williams West Ventura County,310,378702523.0,936000.0,551.26,42.61,23.0,0.9886,1.0264,59.79,30.09,0.06929,0.07099912,189,172
Meritage Homes of California,573,374719055.0,640000.0,347.47,43.9,31.0,0.9916,0.9852,49.07,45.41,0.12807474,0.0702523,91,173
"Beverly and Company, Inc.",313,370971124.0,915000.0,583.01,41.12,27.0,1.0005,4.174,46.83,33.96,0.06996055,0.06954964,187,174
KW Silicon City,255,366097345.0,1260000.0,785.73,26.68,13.0,1.0562,1.0513,26.64,23.57,0.05699661,0.06863591,247,175
"West Shores Realty, Inc.",362,365521481.5,841525.0,590.04,38.73,19.0,0.9958,0.9771,50.89,35.44,0.08091284,0.06852794,159,176
Rossmoor Realty / J.H. Russell,449,362207113.0,650000.0,511.63,30.01,15.0,1.0113,0.9956,30.94,25.93,0.10035874,0.06790657,120,177
DPL Real Estate,169,360023952.0,1900000.0,1136.36,23.2,9.0,1.0251,1.015,24.07,26.12,0.03777423,0.06749727,368,178
Re/Max Premier Realty,278,354558393.0,1100000.0,692.43,21.81,11.5,1.0024,4.5892,30.16,28.08,0.06213748,0.06647258,211,179
Coldwell Banker Hallmark,326,350748780.0,947500.0,585.62,33.69,19.5,1.0121,0.9998,43.39,32.72,0.07286626,0.06575836,174,180
Keller Williams South Bay,369,349863959.0,830000.0,593.75,31.59,15.0,1.0137,1.0506,40.84,33.44,0.08247745,0.06559247,152,181
CENTURY 21 Real Estate Alliance,290,348167147.0,1003000.0,724.16,30.95,17.5,1.0206,1.0065,33.95,28.9,0.06481968,0.06527435,200,182
"Toll Brothers Real Estate,Inc",219,343426522.0,1255995.0,619.92,29.73,24.0,1.0104,1.004,30.03,154.69,0.04895003,0.06438558,284,183
Luxury Collective,467,341077799.0,638000.0,438.78,34.75,19.0,1.0052,0.9941,42.09,37.58,0.10438203,0.06394524,118,184
RE/MAX Galaxy,263,340440002.0,955000.0,520.41,45.17,23.0,0.9937,4129.065,52.81,31.65,0.05878474,0.06382567,237,185
Keller Williams Palos Verdes,240,337767649.0,1017500.0,657.69,30.06,13.0,0.9948,0.981,40.76,33.58,0.05364387,0.06332466,260,186
Richardson Sotheby's International Realty,302,336512122.0,905000.0,577.31,38.33,13.0,0.9935,1.0034,53.38,32.43,0.06750187,0.06308927,195,187
RE/MAX Success,367,333722155.0,796800.0,479.52,42.81,17.0,0.9945,3.6973,50.65,34.0,0.08203042,0.06256621,155,188
Realty One Group Pacific,384,331824445.0,739500.0,481.96,29.12,14.0,0.9929,0.9806,39.32,30.8,0.08583019,0.06221043,148,189
RE/MAX Parkside Real Estate,392,331626615.75,750500.0,433.82,53.77,19.0,0.9859,0.9642,67.76,34.79,0.08761832,0.06217334,143,190
RE/MAX TOP PRODUCERS,318,330058717.0,691500.0,473.95,30.97,14.5,1.2911,1.3094,39.18,35.14,0.07107813,0.06187939,183,191
OPENDOOR BROKERAGE INC.,560,329900444.0,575000.0,323.71,62.55,51.0,0.9936,0.966,70.43,32.13,0.12516903,0.06184971,93,192
